ticker,Date,nav,premium_reported,prem_next
DECO,2025-07-01,36.686165,0.020957080000000003,0.00268293
DECO,2026-06-03,80.801008,0.10567928,0.0010937
EEMX,2025-02-24,34.598947,-0.014565390000000001,-0.0020341400000000003
EEMX,2025-02-27,34.289283,-0.01281109,-0.0039035700000000003
EEMX,2025-03-03,33.480456,-0.01449968,0.0006805
EEMX,2025-03-06,34.53675,-0.01061912,-0.0037318200000000003
EEMX,2025-03-10,33.947196,-0.014498869999999999,-0.00257645
EEMX,2025-03-17,34.535393,0.01374263,-0.005052879999999999
EEMX,2025-03-28,34.120973,-0.01087229,0.0026317099999999998
EEMX,2025-04-03,33.581786,-0.01404887,-0.03048179
EEMX,2025-04-04,32.294391,-0.03048179,-0.01307589
EEMX,2025-04-07,30.458269,-0.01307589,-0.028921389999999998
EEMX,2025-04-08,30.553654,-0.028921389999999998,0.04987928
EEMX,2025-04-09,30.251097,0.04987928,-0.0118872
EEMX,2025-04-10,31.565222,-0.0118872,0.009359840000000001
EEMX,2025-04-24,33.321249,0.01076643,0.00265816
EEMX,2025-08-22,39.009296,0.01373273,-0.00652115
EEMX,2025-10-10,42.001685,-0.0311103,0.00143817
EEMX,2025-10-17,42.112307,0.011105849999999999,0.00802701
EEMX,2025-11-05,42.748761,0.01078953,-0.004613959999999999
EEMX,2025-11-13,43.548853,-0.01340685,0.00415788
EEMX,2025-11-20,42.302108,-0.01837043,0.00912172
EEMX,2025-11-24,41.400222,0.01183032,0.0064344400000000005
EEMX,2025-12-12,42.177496,-0.013929130000000001,-0.00406805
EEMX,2026-01-12,44.631123,0.01173793,0.00128273
EEMX,2026-02-02,45.480372,0.01648245,-0.00647339
EEMX,2026-02-04,46.595538,-0.01621481,-0.00397954
EEMX,2026-02-06,45.795645,0.023132220000000002,0.00796002
EEMX,2026-02-20,47.695573,0.01822867,-0.0015490399999999998
EEMX,2026-03-03,46.445116,-0.01647355,0.035979779999999996
EEMX,2026-03-04,44.749908,0.035979779999999996,-0.01594512
EEMX,2026-03-05,45.7444,-0.01594512,-0.01985111
EEMX,2026-03-06,45.600215,-0.01985111,0.03324879
EEMX,2026-03-09,44.181034,0.03324879,0.00230123
EEMX,2026-03-12,45.380958,-0.01952268,-0.00735361
EEMX,2026-03-16,45.060539,0.01452404,0.00802369
EEMX,2026-03-18,46.239967,-0.027032180000000003,0.00314728
EEMX,2026-03-20,44.531696,-0.02563783,0.037823760000000005
EEMX,2026-03-23,43.210612,0.037823760000000005,0.00419087
EEMX,2026-03-26,44.087135,-0.018421129999999997,-0.01756686
EEMX,2026-03-27,43.748524,-0.01756686,-0.00740173
EEMX,2026-03-31,42.556904,0.03860939,0.00455868
EEMX,2026-04-09,46.627491,0.01131326,-0.00017819000000000003
EEMX,2026-04-13,46.835658,0.01642642,0.01574921
EEMX,2026-04-14,47.782464,0.01574921,0.00442225
EEMX,2026-04-17,48.780454,0.01987571,0.00899728
EEMX,2026-04-21,49.350916,-0.01572242,0.008058889999999999
EEMX,2026-04-24,49.200709,0.01055454,-0.00322294
EEMX,2026-04-29,49.389611,-0.01011571,0.02041213
EEMX,2026-04-30,48.81851,0.02041213,0.02329415
EEMX,2026-05-01,48.861806,0.02329415,-0.0075206399999999994
EEMX,2026-05-05,50.3455,0.01339742,0.014614579999999999
EEMX,2026-05-06,52.004969,0.014614579999999999,-0.01343326
EEMX,2026-05-07,52.794198,-0.01343326,0.014629360000000001
EEMX,2026-05-08,52.4083,0.014629360000000001,0.00716647
EEMX,2026-05-12,52.069132,-0.01121839,0.00694655
EEMX,2026-05-20,50.190833,0.022497470000000002,0.00644541
EEMX,2026-05-26,52.87276,0.01564586,0.00393498
EEMX,2026-05-28,53.040862,0.01572633,-0.00016431
EEMX,2026-06-01,54.495294,0.01054597,0.009729370000000001
EEMX,2026-06-05,52.803568,-0.042583640000000006,0.01322881
EEMX,2026-06-08,50.955914,0.01322881,-0.01950367
EEMX,2026-06-09,52.769193,-0.01950367,-0.011195459999999999
EEMX,2026-06-10,51.370112,-0.011195459999999999,0.03615686
EEMX,2026-06-11,51.309799,0.03615686,0.00883009
EEMX,2026-06-15,54.496293,0.01300468,-0.00953906
EEMX,2026-06-17,55.077885,-0.014668049999999998,0.01124158
EEMX,2026-06-18,55.33297,0.01124158,0.00948867
EEMX,2026-06-25,54.288153,-0.0101892,0.006057280000000001
EEMX,2026-06-29,52.761351,0.010872520000000002,0.01636433
EEMX,2026-06-30,53.297817,0.01636433,-0.01195441
EEMX,2026-07-01,53.287015,-0.01195441,-0.00415618
EEMX,2026-07-09,51.87003,0.01783246,0.01093901
EEMX,2026-07-10,52.322642,0.01093901,-0.00147017
EEMX,2026-07-14,51.107817,0.01461974,-0.00936716
EEMX,2026-07-16,51.483022,-0.01676324,-0.0046326299999999996
EEMX,2026-07-23,51.670064,-0.01432288,-0.007348940000000001
EEMX,2026-07-27,50.823442,-0.012955479999999998,0.00454809
EEMX,2026-07-30,48.261271,0.040171530000000004,-0.01873635
EEMX,2026-07-31,51.515207,-0.01873635,0.00345535
EEMX,2026-08-04,51.073693,0.02312946,-0.0033960600000000002
EEMX,2026-08-07,51.302727,0.014565950000000001,-0.00198183
EEMX,2026-08-18,52.473375,-0.01626301,0.010417000000000001
EEMX,2026-08-19,51.666787,0.010417000000000001,-0.00102217
EEMX,2026-09-01,53.51978,-0.0140094,0.00574044
EEMX,2026-09-03,52.75567,0.010507500000000001,0.01469736
EEMX,2026-09-04,53.488855,0.01469736,0.00071141
EEMX,2026-09-10,54.095593,-0.02145448,0.00413643
EEMX,2026-09-17,52.371524,0.010568260000000001,
EMHC,2025-04-04,23.819931,-0.0100727,-0.00746479
EMHC,2025-04-08,23.404052,-0.01363234,0.01665273
EMHC,2025-04-09,23.262614,0.01665273,-0.00686531
HECO,2025-07-01,32.883816,0.02041077,-0.00102712
MBND,2025-04-09,26.301871,0.01494681,-0.0040311900000000005
