accession,cik,form,filing_date,acceptance_datetime,company,description,items,document_url,classification
0001193125-25-020868,0001050446,8-K,2025-02-05,,MICROSTRATEGY Inc  (MSTR)  (CIK 0001050446),EX-3.1,3.03;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1050446/000119312525020868/d791994d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-020393,0000070866,8-K,2025-02-05,,"NCR Voyix Corp  (VYX, NCRRP)  (CIK 0000070866)",EX-99.1,5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/70866/000119312525020393/d817151d8k.htm,UNRELATED OR NOT CONFIRMED
0001521332-25-000006,0001521332,8-K,2025-02-06,,Aptiv PLC  (APTV)  (CIK 0001521332),EXHIBIT 99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000006/aptv-20250206.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000908255-25-000003,0000908255,8-K,2025-02-06,,BORGWARNER INC  (BWA)  (CIK 0000908255),EX-99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/908255/000090825525000003/a20241231ex991pressrelease.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000773840-25-000005,0000773840,8-K,2025-02-06,,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840),EX-99.2,2.02;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/773840/000077384025000005/exhibit991-q42024earningsr.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001110803-25-000014,0001110803,8-K,2025-02-06,,"ILLUMINA, INC.  (ILMN)  (CIK 0001110803)",EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1110803/000111080325000014/a4q24earningsrelease.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000920148-25-000021,0000920148,8-K,2025-02-06,,LABCORP HOLDINGS INC.  (LH)  (CIK 0000920148),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/920148/000092014825000021/form8-kerex991for4q24.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000067716-25-000007,0000067716,8-K,2025-02-06,,MDU RESOURCES GROUP INC  (MDU)  (CIK 0000067716),"MDU RESOURCES GROUP, INC. EX 99",2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/67716/000006771625000007/a2024earningsreleaseex-99.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001952073-25-000004,0001952073,8-K,2025-02-06,,Madison Square Garden Entertainment Corp.  (MSGE)  (CIK 0001952073),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1952073/000195207325000004/msge-20250206.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-009874,0001166003,8-K,2025-02-06,,"XPO, Inc.  (XPO)  (CIK 0001166003)",EXHIBIT 99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1166003/000110465925009874/R1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-022309,0000920760,8-K,2025-02-07,,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",8-K,7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/920760/000119312525022309/d933374d8k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001193125-25-022336,0002017206,8-K,2025-02-07,,"Millrose Properties, Inc.  (MRP)  (CIK 0002017206)",8-K,1.01;2.03;3.02;3.03;5.01;5.02;5.03;7.01;9.01,https://www.sec.gov/Archives/edgar/data/2017206/000119312525022336/d760441d8k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
