accession,cik,form,filing_date,acceptance_datetime,company,description,items,document_url,classification
0001628280-25-009942,0001843724,8-K,2025-03-04,,"LanzaTech Global, Inc.  (LNZA, LNZAW)  (CIK 0001843724)",8-K,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1843724/000162828025009942/amci-20250304.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001437749-25-006011,0000071557,8-K,2025-03-04,,"Nuvera Communications, Inc.  (NUVR)  (CIK 0000071557)",EXHIBIT 10.1,5.02;9.01,https://www.sec.gov/Archives/edgar/data/71557/000143774925006011/ex_784983.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-045628,0001858848,8-K,2025-03-04,,"Tenaya Therapeutics, Inc.  (TNYA)  (CIK 0001858848)",EX-4.1,1.01;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1858848/000119312525045628/d878268d8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-020293,0001166003,8-K,2025-03-04,,"XPO, Inc.  (XPO)  (CIK 0001166003)",EXHIBIT 99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1166003/000110465925020293/R1.htm,UNRELATED OR NOT CONFIRMED
0001101215-25-000050,0001101215,8-K,2025-03-05,,"BREAD FINANCIAL HOLDINGS, INC.  (BFH)  (CIK 0001101215)",EX-99.2,7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000050/bfh-20250305.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-009213,0001530766,8-K,2025-03-05,,"BioSig Technologies, Inc.  (BSGM)  (CIK 0001530766)",,1.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1530766/000149315225009213/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000950142-25-000636,0001823144,8-K,2025-03-05,,"CompoSecure, Inc.  (CMPO, CMPOV, CMPOW)  (CIK 0001823144)",EXHIBIT 99.1,1.01;2.01;5.02;9.01,https://www.sec.gov/Archives/edgar/data/1823144/000095014225000636/eh250596910_8k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001104659-25-020871,0001823144,8-K,2025-03-05,,"CompoSecure, Inc.  (CMPO, CMPOV, CMPOW)  (CIK 0001823144)",EXHIBIT 99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1823144/000110465925020871/R1.htm,UNRELATED OR NOT CONFIRMED
0001101215-25-000052,0001101215,8-K,2025-03-06,,"BREAD FINANCIAL HOLDINGS, INC.  (BFH)  (CIK 0001101215)",EX-99.1,1.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000052/bfh-20250305.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-006463,0001120970,8-K,2025-03-06,,Comstock Inc.  (LODE)  (CIK 0001120970),EXHIBIT 99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1120970/000143774925006463/ex_786451.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001654954-25-002385,0000034956,8-K,2025-03-06,,"TENAX THERAPEUTICS, INC.  (TENX)  (CIK 0000034956)",FORM OF PRE-FUNDED WARRANT TO PURCHASE COMMON STOCK,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/34956/000165495425002385/R1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-049998,0001350653,8-K,2025-03-07,,"Alphatec Holdings, Inc.  (ATEC)  (CIK 0001350653)",EX-4.1,1.01;2.03;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1350653/000119312525049998/d890647d8k.htm,UNRELATED OR NOT CONFIRMED
0002011286-25-000094,0002011286,8-K,2025-03-07,,"Amentum Holdings, Inc.  (AMTM)  (CIK 0002011286)",EX-99.1,8.01;9.01,https://www.sec.gov/Archives/edgar/data/2011286/000201128625000094/amtm-20250307.htm,UNRELATED OR NOT CONFIRMED
0001140361-25-007608,0001404912,8-K,2025-03-07,,"KKR & Co. Inc.  (KKR, KKRS)  (CIK 0001404912)",EXHIBIT 3.1,3.03;5.03;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1404912/000114036125007608/ny20042797x5_8k.htm,UNRELATED OR NOT CONFIRMED
0001829126-25-001573,0001499961,8-K,2025-03-07,,MULLEN AUTOMOTIVE INC.  (MULN)  (CIK 0001499961),EXHIBIT 10.1(A),1.01;2.03;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1499961/000182912625001573/mullenautomotive_8k.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-009571,0001859007,8-K,2025-03-07,,"ZyVersa Therapeutics, Inc.  (ZVSA)  (CIK 0001859007)",,1.01;3.02;5.07;5.08;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1859007/000149315225009571/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-021974,0001705110,8-K,2025-03-10,,Angi Inc.  (ANGI)  (CIK 0001705110),FORM 8-K,8.01,https://www.sec.gov/Archives/edgar/data/1705110/000110465925021974/R1.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-021981,0001083446,8-K,2025-03-10,,"Astrana Health, Inc.  (ASTH)  (CIK 0001083446)",EXHIBIT 99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1083446/000110465925021981/R1.htm,UNRELATED OR NOT CONFIRMED
0001101215-25-000054,0001101215,8-K,2025-03-10,,"BREAD FINANCIAL HOLDINGS, INC.  (BFH)  (CIK 0001101215)",8-K,1.01;2.03;9.01,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000054/bfh-20250310.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-050884,0001828161,8-K,2025-03-10,,"FTC Solar, Inc.  (FTCI)  (CIK 0001828161)",EX-10.1,1.01;9.01,https://www.sec.gov/Archives/edgar/data/1828161/000119312525050884/d940301d8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-021977,0001800227,8-K,2025-03-10,,IAC Inc.  (IAC)  (CIK 0001800227),FORM 8-K,8.01,https://www.sec.gov/Archives/edgar/data/1800227/000110465925021977/R1.htm,UNRELATED OR NOT CONFIRMED
0001213900-25-022205,0001992243,8-K/A,2025-03-10,,"T1 Energy Inc.  (TE, FREY, TE-WT, FREY-WT)  (CIK 0001992243)","UNAUDITED INTERIM FINANCIAL STATEMENTS OF THE TARGET AS OF AND FOR THE NINE MONTHS ENDED SEPTEMBER 30, 2024 AND 2023",9.01,https://www.sec.gov/Archives/edgar/data/1992243/000121390025022205/ea0233228-8ka1_t1energy.htm,UNRELATED OR NOT CONFIRMED
0001411342-25-000023,0001411342,8-K,2025-03-11,,"Ellington Financial Inc.  (EFC, EFC-PA, EFC-PB, EFC-PC, EFC-PD)  (CIK 0001411342)",8-K,1.01;9.01,https://www.sec.gov/Archives/edgar/data/1411342/000141134225000023/efc-20250311.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001834488-25-000059,0001834488,8-K,2025-03-12,,"N-able, Inc.  (NABL)  (CIK 0001834488)",EX-99.1,8.01;9.01,https://www.sec.gov/Archives/edgar/data/1834488/000183448825000059/nabl-20250311.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-037897,0001442236,8-K,2025-03-12,,Quest Resource Holding Corp  (QRHC)  (CIK 0001442236),EX-99.1,2.02;5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1442236/000095017025037897/qrhc-20250310.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-010087,0001514056,8-K,2025-03-12,,Titan Environmental Solutions Inc.  (TESI)  (CIK 0001514056),,1.01;3.02;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1514056/000149315225010087/ex10-1.htm,UNRELATED OR NOT CONFIRMED
0001529274-25-000040,0001529274,8-K,2025-03-13,,"ALKAMI TECHNOLOGY, INC.  (ALKT)  (CIK 0001529274)",EX-4.1,1.01;2.03;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1529274/000152927425000040/alk-20250310.htm,UNRELATED OR NOT CONFIRMED
0001822523-25-000004,0001822523,8-K,2025-03-13,,Advanced Flower Capital Inc.  (AFCG)  (CIK 0001822523),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1822523/000182252325000004/afcg-20250313.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-010095,0001172178,8-K,2025-03-13,,LIBERTY STAR URANIUM & METALS CORP.  (LBSR)  (CIK 0001172178),,1.01;2.03;9.01,https://www.sec.gov/Archives/edgar/data/1172178/000149315225010095/ex3-55.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001834488-25-000063,0001834488,8-K,2025-03-13,,"N-able, Inc.  (NABL)  (CIK 0001834488)",EX-99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1834488/000183448825000063/n-able2025investordaypre.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001753926-25-000438,0001266806,8-K,2025-03-13,,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)",EXHIBIT 99.2,2.02;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1266806/000175392625000438/ex991_1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000950170-25-038769,0001876588,8-K,2025-03-13,,ZimVie Inc.  (ZIMV)  (CIK 0001876588),EX-99.PRESS,5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1876588/000095017025038769/R1.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-023741,0001083446,8-K/A,2025-03-14,,"Astrana Health, Inc.  (ASTH)  (CIK 0001083446)",EXHIBIT 99.2,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1083446/000110465925023741/R1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-055662,0001580808,8-K,2025-03-17,,"A10 Networks, Inc.  (ATEN)  (CIK 0001580808)",EX-4.1,1.01;2.03;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1580808/000119312525055662/d903635d8k.htm,UNRELATED OR NOT CONFIRMED
0001101215-25-000062,0001101215,8-K,2025-03-17,,"BREAD FINANCIAL HOLDINGS, INC.  (BFH)  (CIK 0001101215)",EX-99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000062/bfh-20250317.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-040491,0001650132,8-K,2025-03-17,,"Four Corners Property Trust, Inc.  (FCPT)  (CIK 0001650132)",EX-99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1650132/000095017025040491/fcpt-20250317.htm,UNRELATED OR NOT CONFIRMED
0002007919-25-000020,0002007919,8-K,2025-03-17,,"Inhibrx Biosciences, Inc.  (INBX)  (CIK 0002007919)",EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/2007919/000200791925000020/exhibit99112312024.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-055699,0002017206,8-K,2025-03-17,,"Millrose Properties, Inc.  (MRP)  (CIK 0002017206)",EX-99.1,7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/2017206/000119312525055699/d903669d8k.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-040231,0001816017,8-K,2025-03-17,,"Spire Global, Inc.  (SPIR)  (CIK 0001816017)",EX-4.1,1.01;3.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1816017/000095017025040231/R1.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-025028,0001800227,8-K,2025-03-18,,IAC Inc.  (IAC)  (CIK 0001800227),FORM 8-K,5.04;9.01,https://www.sec.gov/Archives/edgar/data/1800227/000110465925025028/R1.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-025101,0001679049,8-K,2025-03-18,,"International Seaways, Inc.  (INSW)  (CIK 0001679049)",EXHIBIT 10.3,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1679049/000110465925025101/R1.htm,UNRELATED OR NOT CONFIRMED
0001753926-25-000467,0001347242,8-K,2025-03-18,,LIPELLA PHARMACEUTICALS INC.  (LIPO)  (CIK 0001347242),EXHIBIT 4.2,1.01;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1347242/000175392625000467/g084733_8k.htm,UNRELATED OR NOT CONFIRMED
0001733998-25-000078,0001733998,8-K,2025-03-18,,Northwest Natural Holding Co  (NWN)  (CIK 0001733998),EX-4.(C),8.01;9.01,https://www.sec.gov/Archives/edgar/data/1733998/000173399825000078/ex1underwritingagreement.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000950103-25-003639,0001166691,8-K,2025-03-19,,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",FORM 8-K,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1166691/000095010325003639/dp226495_8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-058093,0001580808,8-K/A,2025-03-20,,"A10 Networks, Inc.  (ATEN)  (CIK 0001580808)",EX-4.1,1.01;2.03;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1580808/000119312525058093/d828154d8ka.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-042661,0001048911,8-K,2025-03-20,,FEDEX CORP  (FDX)  (CIK 0001048911),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1048911/000095017025042661/fdx-20250320.htm,UNRELATED OR NOT CONFIRMED
0001628280-25-014148,0000920760,8-K,2025-03-20,,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/920760/000162828025014148/ex991-2025228x8kq1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-026632,0000883902,8-K,2025-03-21,,"Cornerstone Building Brands, Inc.  (CIK 0000883902)",FORM 8-K,5.02,https://www.sec.gov/Archives/edgar/data/883902/000110465925026632/R1.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-008666,0001460329,8-K,2025-03-21,,"Fluent, Inc.  (FLNT)  (CIK 0001460329)",EXHIBIT 4.1,1.01;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1460329/000143774925008666/ex_792735.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001140361-25-009817,0001781162,8-K,2025-03-21,,"Momentus Inc.  (MNTS, MNTSW)  (CIK 0001781162)",EXHIBIT 4.1,1.01;9.01,https://www.sec.gov/Archives/edgar/data/1781162/000114036125009817/ef20045953_8k.htm,UNRELATED OR NOT CONFIRMED
0001641172-25-000330,0001780312,8-K,2025-03-24,,"AST SpaceMobile, Inc.  (ASTS)  (CIK 0001780312)",,1.01;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1780312/000164117225000330/ex10-1.htm,UNRELATED OR NOT CONFIRMED
0001641172-25-000309,0001705012,8-K,2025-03-24,,"Fat Brands, Inc  (FAT, FATBB, FATBP, FATBW)  (CIK 0001705012)",,5.02,https://www.sec.gov/Archives/edgar/data/1705012/000164117225000309/form8-k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001641172-25-000369,0001162896,8-K,2025-03-24,,Prairie Operating Co.  (PROP)  (CIK 0001162896),,8.01;9.01,https://www.sec.gov/Archives/edgar/data/1162896/000164117225000369/ex99-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001437749-25-009051,0001378590,8-K,2025-03-25,,"Bridgeline Digital, Inc.  (BLIN)  (CIK 0001378590)",EXHIBIT 4.1,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1378590/000143774925009051/blin20250324_8k.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-009141,0000832489,8-K,2025-03-25,,"GeoVax Labs, Inc.  (GOVX, GOVXW)  (CIK 0000832489)",EXHIBIT 4.1,1.01;7.01;9.01,https://www.sec.gov/Archives/edgar/data/832489/000143774925009141/ex_793773.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001193125-25-063235,0001808898,8-K,2025-03-26,,Benitec Biopharma Inc.  (BNTC)  (CIK 0001808898),EX-4.1,1.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1808898/000119312525063235/d931233d8k.htm,UNRELATED OR NOT CONFIRMED
0001013762-25-002507,0001939365,8-K,2025-03-26,,"INSPIRE VETERINARY PARTNERS, INC.  (IVP)  (CIK 0001939365)",FORM OF SERIES B WARRANT,1.01;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1939365/000101376225002507/ea0235564-8k_inspire.htm,UNRELATED OR NOT CONFIRMED
0001641172-25-000762,0001162896,8-K,2025-03-26,,Prairie Operating Co.  (PROP)  (CIK 0001162896),,1.01;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1162896/000164117225000762/ex1-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001013762-25-002818,0001833498,8-K,2025-03-26,,"Spectral AI, Inc.  (MDAI, MDAIW)  (CIK 0001833498)",FORM OF WARRANT,1.01;2.03;3.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1833498/000101376225002818/ea0235766-8k_spectral.htm,UNRELATED OR NOT CONFIRMED
0001753926-25-000488,0001266806,8-K,2025-03-26,,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)",EXHIBIT 99.1,8.01;9.01,https://www.sec.gov/Archives/edgar/data/1266806/000175392625000488/ex991_1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-064250,0000004904,8-K,2025-03-27,,AMERICAN ELECTRIC POWER CO INC  (AEP)  (CIK 0000004904),8-K,1.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/4904/000119312525064250/d942413d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-028779,0000935703,8-K,2025-03-27,,"DOLLAR TREE, INC.  (DLTR)  (CIK 0000935703)",FORM 8-K,1.01;1.02;2.03,https://www.sec.gov/Archives/edgar/data/935703/000110465925028779/R1.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-009638,0001902314,8-K,2025-03-27,,"M-tron Industries, Inc.  (MPTI)  (CIK 0001902314)",EXHIBIT 99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1902314/000143774925009638/ex_717151.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001641172-25-000946,0000064463,8-K,2025-03-27,,"Soluna Holdings, Inc  (SLNH, SLNHP)  (CIK 0000064463)",,1.01;2.03;3.02;9.01,https://www.sec.gov/Archives/edgar/data/64463/000164117225000946/ex10-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001013762-25-003341,0001560293,8-K,2025-03-27,,"Tenon Medical, Inc.  (TNON, TNONW)  (CIK 0001560293)",FORM OF PRE-FUNDED WARRANT,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1560293/000101376225003341/ea0235831-8k_tenon.htm,UNRELATED OR NOT CONFIRMED
0001753926-25-000495,0001266806,8-K,2025-03-27,,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)",EXHIBIT 99.1,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1266806/000175392625000495/ex101_1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-028447,0001166003,8-K,2025-03-27,,"XPO, Inc.  (XPO)  (CIK 0001166003)",FORM 8-K,8.01,https://www.sec.gov/Archives/edgar/data/1166003/000110465925028447/R1.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-029063,0001800227,8-K,2025-03-28,,"IAC Inc.  (IAC, IACVV)  (CIK 0001800227)",FORM 8-K,7.01,https://www.sec.gov/Archives/edgar/data/1800227/000110465925029063/R1.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-046769,0001824893,8-K,2025-03-28,,"Surrozen, Inc./DE  (SRZN, SRZNW)  (CIK 0001824893)",EX-10.2,1.01;3.02;5.02;9.01,https://www.sec.gov/Archives/edgar/data/1824893/000095017025046769/R1.htm,UNRELATED OR NOT CONFIRMED
0001013762-25-004228,0001560293,8-K,2025-03-28,,"Tenon Medical, Inc.  (TNON, TNONW)  (CIK 0001560293)",FORM OF PRE-FUNDED WARRANT,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1560293/000101376225004228/ea0236016-8k_tenon.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-067691,0001701605,8-K,2025-03-31,,Baker Hughes Co  (BKR)  (CIK 0001701605),8-K,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1701605/000119312525067691/d907259d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-068727,0001613780,8-K,2025-03-31,,DBV Technologies S.A.  (DBVT)  (CIK 0001613780),EX-10.1,1.01;3.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1613780/000119312525068727/d944342d8k.htm,UNRELATED OR NOT CONFIRMED
0001641172-25-001751,0001716947,8-K,2025-03-31,,"Ensysce Biosciences, Inc.  (ENSC, ENSCW)  (CIK 0001716947)",,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1716947/000164117225001751/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-067859,0000887936,8-K,2025-03-31,,"FTI CONSULTING, INC  (FCN)  (CIK 0000887936)",EX-99.1,5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/887936/000119312525067859/d922570d8k.htm,UNRELATED OR NOT CONFIRMED
0001140361-25-011158,0001653477,8-K,2025-03-31,,Ingevity Corp  (NGVT)  (CIK 0001653477),EXHIBIT 10.1,1.01;9.01,https://www.sec.gov/Archives/edgar/data/1653477/000114036125011158/ef20046464_8k.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-068740,0001840780,8-K,2025-03-31,,"Local Bounti Corporation/DE  (LOCL, LOCLW)  (CIK 0001840780)",EX-4.1,1.01;1.02;3.02;5.02;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1840780/000119312525068740/d854627d8k.htm,UNRELATED OR NOT CONFIRMED
0001641172-25-001805,0001760903,8-K,2025-03-31,,"Safety Shot, Inc.  (SHOT, SHOTW)  (CIK 0001760903)",,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1760903/000164117225001805/ex99-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001753926-25-000526,0001266806,8-K,2025-03-31,,"Vivani Medical, Inc.  (VANI)  (CIK 0001266806)",EXHIBIT 99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1266806/000175392625000526/ex991_1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
