provisional_transaction_id,issuer_key,cik,filing_count,filing_dates,filing_urls,status
SPIN-REVIEW-027,vivani medical inc,0001266806,4,2025-03-13;2025-03-26;2025-03-27;2025-03-31,https://www.sec.gov/Archives/edgar/data/1266806/000175392625000438/ex991_1.htm;https://www.sec.gov/Archives/edgar/data/1266806/000175392625000488/ex991_1.htm;https://www.sec.gov/Archives/edgar/data/1266806/000175392625000495/ex101_1.htm;https://www.sec.gov/Archives/edgar/data/1266806/000175392625000526/ex991_1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-028,herc holdings inc,0001364479,1,2025-02-13,https://www.sec.gov/Archives/edgar/data/1364479/000136447925000006/herc2024q4-pressrelease.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-029,ellington financial inc,0001411342,1,2025-03-11,https://www.sec.gov/Archives/edgar/data/1411342/000141134225000023/efc-20250311.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-030,fluent inc,0001460329,1,2025-03-21,https://www.sec.gov/Archives/edgar/data/1460329/000143774925008666/ex_792735.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-031,aptiv plc,0001521332,1,2025-02-06,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000006/aptv-20250206.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-032,biosig technologies inc,0001530766,1,2025-03-05,https://www.sec.gov/Archives/edgar/data/1530766/000149315225009213/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-033,liberty global ltd,0001570585,1,2025-02-18,https://www.sec.gov/Archives/edgar/data/1570585/000157058525000022/ex991lgq42024pressrelease.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-034,focus universal inc,0001590418,1,2025-02-20,https://www.sec.gov/Archives/edgar/data/1590418/000168316825001149/focus_8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-035,lifeward ltd,0001607962,2,2025-01-08,https://www.sec.gov/Archives/edgar/data/1607962/000117891325000072/exhibit_4-1.htm;https://www.sec.gov/Archives/edgar/data/1607962/000117891325000065/exhibit_10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-036,cottonwood communities inc,0001692951,1,2025-01-13,https://www.sec.gov/Archives/edgar/data/1692951/000169295125000053/cci-20241205.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-037,baker hughes co,0001701605,1,2025-03-31,https://www.sec.gov/Archives/edgar/data/1701605/000119312525067691/d907259d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-038,fat brands inc,0001705012,3,2025-01-17;2025-01-30;2025-03-24,https://www.sec.gov/Archives/edgar/data/1705012/000149315225002733/ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1705012/000149315225004252/form8-k.htm;https://www.sec.gov/Archives/edgar/data/1705012/000164117225000309/form8-k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-039,ensysce biosciences inc,0001716947,1,2025-03-31,https://www.sec.gov/Archives/edgar/data/1716947/000164117225001751/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
