Title: Schedule of Selected Releases 2018

URL Source: https://www.bls.gov/schedule/2018/home.htm

Markdown Content:
## January, 2018

| Date | Time | Release |
| --- | --- | --- |
| Monday, January 01, 2018 |  | **New Year's Day** |
| Thursday, January 04, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for November 2017 |
| Friday, January 05, 2018 | 08:30 AM | **Employment Situation** for December 2017 |
| Tuesday, January 09, 2018 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2017 |
| Wednesday, January 10, 2018 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2017 |
| Thursday, January 11, 2018 | 08:30 AM | **Producer Price Index** for December 2017 |
| Friday, January 12, 2018 | 08:30 AM | **Consumer Price Index** for December 2017 |
| Friday, January 12, 2018 | 08:30 AM | **Real Earnings** for December 2017 |
| Monday, January 15, 2018 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 17, 2018 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2017 |
| Friday, January 19, 2018 | 10:00 AM | **Union Membership (Annual)** for 2017 |
| Tuesday, January 23, 2018 | 10:00 AM | **State Employment and Unemployment (Monthly)** for December 2017 |
| Friday, January 26, 2018 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2017 |
| Wednesday, January 31, 2018 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2017 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**October 03, 2018

## February, 2018

| Date | Time | Release |
| --- | --- | --- |
| Thursday, February 01, 2018 | 08:30 AM | **Productivity and Costs (P)** for Fourth Quarter 2017 |
| Friday, February 02, 2018 | 08:30 AM | **Employment Situation** for January 2018 |
| Tuesday, February 06, 2018 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2017 |
| Tuesday, February 06, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2017 |
| Friday, February 09, 2018 | 10:00 AM | **Major Work Stoppages (Annual)** for 2017 |
| Wednesday, February 14, 2018 | 08:30 AM | **Consumer Price Index** for January 2018 |
| Wednesday, February 14, 2018 | 08:30 AM | **Real Earnings** for January 2018 |
| Thursday, February 15, 2018 | 08:30 AM | **Producer Price Index** for January 2018 |
| Friday, February 16, 2018 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2018 |
| Monday, February 19, 2018 |  | **Washington's Birthday** |
| Tuesday, February 27, 2018 | 10:00 AM | **State Unemployment (Annual)** for 2017 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**October 03, 2018

## March, 2018

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, March 07, 2018 | 08:30 AM | **Productivity and Costs (R)** for Fourth Quarter 2017 |
| Thursday, March 08, 2018 | 10:00 AM | **County Employment and Wages** for Third Quarter 2017 |
| Friday, March 09, 2018 | 08:30 AM | **Employment Situation** for February 2018 |
| Monday, March 12, 2018 | 10:00 AM | **State Employment and Unemployment (Monthly)** for January 2018 |
| Tuesday, March 13, 2018 | 08:30 AM | **Consumer Price Index** for February 2018 |
| Tuesday, March 13, 2018 | 08:30 AM | **Real Earnings** for February 2018 |
| Wednesday, March 14, 2018 | 08:30 AM | **Producer Price Index** for February 2018 |
| Thursday, March 15, 2018 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2018 |
| Friday, March 16, 2018 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2018 |
| Friday, March 16, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for January 2018 |
| Tuesday, March 20, 2018 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2017 |
| Wednesday, March 21, 2018 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2017 |
| Thursday, March 22, 2018 | 10:00 AM | **Employment Situation of Veterans** for Annual 2017 |
| Friday, March 23, 2018 | 10:00 AM | **State Employment and Unemployment (Monthly)** for February 2018 |
| Friday, March 30, 2018 | 10:00 AM | **Occupational Employment and Wages** for May 2017 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**October 03, 2018

## April, 2018

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, April 04, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for February 2018 |
| Friday, April 06, 2018 | 08:30 AM | **Employment Situation** for March 2018 |
| Tuesday, April 10, 2018 | 08:30 AM | **Producer Price Index** for March 2018 |
| Wednesday, April 11, 2018 | 08:30 AM | **Consumer Price Index** for March 2018 |
| Wednesday, April 11, 2018 | 08:30 AM | **Real Earnings** for March 2018 |
| Thursday, April 12, 2018 | 08:30 AM | **U.S. Import and Export Price Indexes** for March 2018 |
| Friday, April 13, 2018 | 10:00 AM | **Job Openings and Labor Turnover Survey** for February 2018 |
| Friday, April 13, 2018 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for First Quarter 2018 |
| Tuesday, April 17, 2018 | 10:00 AM | **Employment Experience of Youths: Results from a Longitudinal Survey** for |
| Thursday, April 19, 2018 | 10:00 AM | **Employment Characteristics of Families** for Annual 2017 |
| Thursday, April 19, 2018 | 10:00 AM | **Productivity and Costs by Industry: Manufacturing and Mining Industries** for Annual 2017 |
| Friday, April 20, 2018 | 10:00 AM | **State Employment and Unemployment (Monthly)** for March 2018 |
| Wednesday, April 25, 2018 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Third Quarter 2017 |
| Thursday, April 26, 2018 | 10:00 AM | **College Enrollment and Work Activity of High School Graduates** for Annual 2017 |
| Thursday, April 26, 2018 | 10:00 AM | **Consumer Expenditures Survey Midyear Update** for Midyear 2016-2017 |
| Friday, April 27, 2018 | 08:30 AM | **Employment Cost Index** for First Quarter 2018 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**October 03, 2018

## May, 2018

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, May 02, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for March 2018 |
| Thursday, May 03, 2018 | 08:30 AM | **Productivity and Costs (P)** for First Quarter 2018 |
| Friday, May 04, 2018 | 08:30 AM | **Employment Situation** for April 2018 |
| Tuesday, May 08, 2018 | 10:00 AM | **Job Openings and Labor Turnover Survey** for March 2018 |
| Wednesday, May 09, 2018 | 08:30 AM | **Producer Price Index** for April 2018 |
| Thursday, May 10, 2018 | 08:30 AM | **Consumer Price Index** for April 2018 |
| Thursday, May 10, 2018 | 08:30 AM | **Real Earnings** for April 2018 |
| Friday, May 11, 2018 | 08:30 AM | **U.S. Import and Export Price Indexes** for April 2018 |
| Wednesday, May 16, 2018 | 10:00 AM | **Multifactor Productivity Trends in Manufacturing** for Annual 2016 |
| Thursday, May 17, 2018 | 10:00 AM | **Labor Force Characteristics of Foreign-born Workers** for Annual 2017 |
| Thursday, May 17, 2018 | 10:00 AM | **Productivity and Costs by Industry: Selected Service-Providing Industries** for Annual 2017 |
| Friday, May 18, 2018 | 10:00 AM | **State Employment and Unemployment (Monthly)** for April 2018 |
| Wednesday, May 23, 2018 | 10:00 AM | **County Employment and Wages** for Fourth Quarter 2017 |
| Monday, May 28, 2018 |  | **Memorial Day** |
| Wednesday, May 30, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for April 2018 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**October 03, 2018

## June, 2018

| Date | Time | Release |
| --- | --- | --- |
| Friday, June 01, 2018 | 08:30 AM | **Employment Situation** for May 2018 |
| Tuesday, June 05, 2018 | 10:00 AM | **Job Openings and Labor Turnover Survey** for April 2018 |
| Wednesday, June 06, 2018 | 08:30 AM | **Productivity and Costs (R)** for First Quarter 2018 |
| Thursday, June 07, 2018 | 10:00 AM | **Contingent and Alternative Employment Arrangements** for May 2017 |
| Thursday, June 07, 2018 | 10:00 AM | **County Employment and Wages Full Data Update** for Fourth Quarter 2017 |
| Friday, June 08, 2018 | 10:00 AM | **Employer Costs for Employee Compensation** for March 2018 |
| Tuesday, June 12, 2018 | 08:30 AM | **Consumer Price Index** for May 2018 |
| Tuesday, June 12, 2018 | 08:30 AM | **Real Earnings** for May 2018 |
| Wednesday, June 13, 2018 | 08:30 AM | **Producer Price Index** for May 2018 |
| Thursday, June 14, 2018 | 08:30 AM | **U.S. Import and Export Price Indexes** for May 2018 |
| Friday, June 15, 2018 | 10:00 AM | **State Employment and Unemployment (Monthly)** for May 2018 |
| Thursday, June 21, 2018 | 10:00 AM | **Persons with a Disability: Labor Force Characteristics** for Annual 2017 |
| Wednesday, June 27, 2018 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for May 2018 |
| Thursday, June 28, 2018 | 10:00 AM | **American Time Use Survey** for Annual 2017 |
| Thursday, June 28, 2018 | 10:00 AM | **Multifactor Productivity Trends for Detailed Industries** for Annual 2016 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**October 03, 2018

## July, 2018

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, July 04, 2018 |  | **Independence Day** |
