Title: Schedule of Releases for 2015

URL Source: https://www.bls.gov/schedule/2015/home.htm

Markdown Content:
## January, 2015

| Date | Time | Release |
| --- | --- | --- |
| Thursday, January 01, 2015 |  | **New Year's Day** |
| Friday, January 09, 2015 | 08:30 AM | **Employment Situation** for December 2014 |
| Tuesday, January 13, 2015 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2014 |
| Wednesday, January 14, 2015 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2014 |
| Thursday, January 15, 2015 | 08:30 AM | **Producer Price Index** for December 2014 |
| Friday, January 16, 2015 | 08:30 AM | **Consumer Price Index** for December 2014 |
| Friday, January 16, 2015 | 08:30 AM | **Real Earnings** for December 2014 |
| Monday, January 19, 2015 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 21, 2015 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2014 |
| Friday, January 23, 2015 | 10:00 AM | **Union Membership** for Annual 2014 |
| Tuesday, January 27, 2015 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for December 2014 |
| Wednesday, January 28, 2015 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2014 |
| Friday, January 30, 2015 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2014 |

## February, 2015

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, February 04, 2015 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2014 |
| Thursday, February 05, 2015 | 08:30 AM | **Productivity and Costs (P)** for Fourth Quarter 2014 |
| Friday, February 06, 2015 | 08:30 AM | **Employment Situation** for January 2015 |
| Tuesday, February 10, 2015 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2014 |
| Wednesday, February 11, 2015 | 10:00 AM | **Major Work Stoppages (Annual)** for 2014 |
| Friday, February 13, 2015 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2015 |
| Monday, February 16, 2015 |  | **Washington's Birthday** |
| Wednesday, February 18, 2015 | 08:30 AM | **Producer Price Index** for January 2015 |
| Wednesday, February 25, 2015 | 10:00 AM | **Volunteering in the United States** for Annual 2014 |
| Thursday, February 26, 2015 | 08:30 AM | **Consumer Price Index** for January 2015 |
| Thursday, February 26, 2015 | 08:30 AM | **Real Earnings** for January 2015 |

## March, 2015

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, March 04, 2015 | 10:00 AM | **Regional and State Unemployment** for Annual 2014 |
| Thursday, March 05, 2015 | 08:30 AM | **Productivity and Costs (R)** for Fourth Quarter 2014 |
| Friday, March 06, 2015 | 08:30 AM | **Employment Situation** for February 2015 |
| Tuesday, March 10, 2015 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2015 |
| Wednesday, March 11, 2015 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2014 |
| Thursday, March 12, 2015 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2015 |
| Friday, March 13, 2015 | 08:30 AM | **Producer Price Index** for February 2015 |
| Tuesday, March 17, 2015 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for January 2015 |
