Title: Schedule of Selected Releases 2017

URL Source: https://www.bls.gov/schedule/2017/home.htm

Markdown Content:
## January, 2017

| Date | Time | Release |
| Tuesday, December 05, 2017 | 10:00 AM | **County Employment and Wages** for Second Quarter 2017 |
| Tuesday, December 05, 2017 | 10:00 AM | **Work Experience of the Population (Annual)** for 2016 |
| Wednesday, December 06, 2017 | 08:30 AM | **Productivity and Costs (R)** for Third Quarter 2017 |
| Friday, December 08, 2017 | 08:30 AM | **Employment Situation** for November 2017 |
| Monday, December 11, 2017 | 10:00 AM | **Job Openings and Labor Turnover Survey** for October 2017 |
| Tuesday, December 12, 2017 | 08:30 AM | **Producer Price Index** for November 2017 |
| Wednesday, December 13, 2017 | 08:30 AM | **Consumer Price Index** for November 2017 |
| Wednesday, December 13, 2017 | 08:30 AM | **Real Earnings** for November 2017 |
| Thursday, December 14, 2017 | 08:30 AM | **U.S. Import and Export Price Indexes** for November 2017 |
| Friday, December 15, 2017 | 10:00 AM | **Employer Costs for Employee Compensation** for September 2017 |
| Tuesday, December 19, 2017 | 10:00 AM | **Census of Fatal Occupational Injuries** for Annual 2016 |
| Friday, December 22, 2017 | 10:00 AM | **State Employment and Unemployment (Monthly)** for November 2017 |
| Monday, December 25, 2017 |  | **Christmas Day** |
