Title: Schedule of Releases for 2013

URL Source: https://www.bls.gov/schedule/2013/home.htm

Markdown Content:
## January, 2013

| Date | Time | Release |
| Friday, March 15, 2013 | 08:30 AM | **Real Earnings** for February 2013 |
| Monday, March 18, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for January 2013 |
| Tuesday, March 19, 2013 | 10:00 AM | **Green Goods and Services** for Annual 2011 |
| Wednesday, March 20, 2013 | 10:00 AM | **Employment Situation of Veterans** for Annual 2012 |
| Thursday, March 21, 2013 | 10:00 AM | **Productivity and Costs by Industry: Manufacturing Industries** for Annual 2011 |
| Friday, March 22, 2013 | 10:00 AM | **Mass Layoffs (Monthly)** for February 2013 |
| Friday, March 22, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for January 2013 |
| Wednesday, March 27, 2013 | 10:00 AM | **Consumer Expenditures Midyear Update** for Midyear 2011-2012 |
| Thursday, March 28, 2013 | 10:00 AM | **County Employment and Wages** for Third Quarter 2012 |
| Friday, March 29, 2013 | 10:00 AM | **Occupational Employment and Wages** for Annual 2012 |
| Friday, March 29, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for February 2013 |

## April, 2013

| Date | Time | Release |
| --- | --- | --- |
| Friday, April 05, 2013 | 08:30 AM | **Employment Situation** for March 2013 |
| Tuesday, April 09, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for February 2013 |
| Tuesday, April 09, 2013 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2011 |
| Wednesday, April 10, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for February 2013 |
| Thursday, April 11, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for March 2013 |
| Friday, April 12, 2013 | 08:30 AM | **Producer Price Index** for March 2013 |
| Tuesday, April 16, 2013 | 08:30 AM | **Consumer Price Index** for March 2013 |
| Tuesday, April 16, 2013 | 08:30 AM | **Real Earnings** for March 2013 |
| Wednesday, April 17, 2013 | 10:00 AM | **College Enrollment and Work Activity of High School Graduates** for Annual 2012 |
| Thursday, April 18, 2013 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for First Quarter 2013 |
| Friday, April 19, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for March 2013 |
| Tuesday, April 23, 2013 | 10:00 AM | **Mass Layoffs (Monthly)** for March 2013 |
| Wednesday, April 24, 2013 | 10:00 AM | **Persons with a Disability: Barriers to Employment and Other Labor-Related Issues** for May 2012 |
| Friday, April 26, 2013 | 10:00 AM | **Employment Characteristics of Families** for Annual 2012 |
| Tuesday, April 30, 2013 | 08:30 AM | **Employment Cost Index** for First Quarter 2013 |

## May, 2013

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, May 01, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for March 2013 |
| Wednesday, May 01, 2013 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Third Quarter 2012 |
| Thursday, May 02, 2013 | 08:30 AM | **Productivity and Costs (P)** for First Quarter 2013 |
| Friday, May 03, 2013 | 08:30 AM | **Employment Situation** for April 2013 |
| Tuesday, May 07, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for March 2013 |
| Monday, May 13, 2013 | 10:00 AM | **Extended Mass Layoffs (Quarterly)** for First Quarter 2013 |
| Tuesday, May 14, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for April 2013 |
| Wednesday, May 15, 2013 | 08:30 AM | **Producer Price Index** for April 2013 |
| Thursday, May 16, 2013 | 08:30 AM | **Consumer Price Index** for April 2013 |
| Thursday, May 16, 2013 | 08:30 AM | **Real Earnings** for April 2013 |
| Friday, May 17, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for April 2013 |
| Wednesday, May 22, 2013 | 10:00 AM | **Labor Force Characteristics of Foreign-born Workers** for Annual 2012 |
| Wednesday, May 22, 2013 | 10:00 AM | **Mass Layoffs (Monthly)** for April 2013 |
| Monday, May 27, 2013 |  | **Memorial Day** |
| Wednesday, May 29, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for April 2013 |
| Wednesday, May 29, 2013 | 10:00 AM | **Productivity and Costs: Selected Service-Providing and Mining Industries** for Annual 2011 |

## June, 2013

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, June 05, 2013 | 08:30 AM | **Productivity and Costs (R)** for First Quarter 2013 |
| Friday, June 07, 2013 | 08:30 AM | **Employment Situation** for May 2013 |
| Tuesday, June 11, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for April 2013 |
| Wednesday, June 12, 2013 | 10:00 AM | **Employer Costs for Employee Compensation** for March 2013 |
| Wednesday, June 12, 2013 | 10:00 AM | **Persons with a Disability: Labor Force Characteristics** for Annual 2012 |
| Thursday, June 13, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for May 2013 |
| Friday, June 14, 2013 | 08:30 AM | **Producer Price Index** for May 2013 |
| Tuesday, June 18, 2013 | 08:30 AM | **Consumer Price Index** for May 2013 |
| Tuesday, June 18, 2013 | 08:30 AM | **Real Earnings** for May 2013 |
| Wednesday, June 19, 2013 | 10:00 AM | **Multifactor Productivity Trends in Manufacturing** for Annual 2011 |
| Thursday, June 20, 2013 | 10:00 AM | **American Time Use Survey** for Annual 2012 |
| Friday, June 21, 2013 | 10:00 AM | **Mass Layoffs (Monthly)** for May 2013 |
| Friday, June 21, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for May 2013 |
| Thursday, June 27, 2013 | 10:00 AM | **County Employment and Wages** for Fourth Quarter 2012 |
| Friday, June 28, 2013 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2012 |

## July, 2013

| Date | Time | Release |
| --- | --- | --- |
| Tuesday, July 02, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for May 2013 |
| Thursday, July 04, 2013 |  | **Independence Day** |
| Friday, July 05, 2013 | 08:30 AM | **Employment Situation** for June 2013 |
| Tuesday, July 09, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for May 2013 |
| Thursday, July 11, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for June 2013 |
| Friday, July 12, 2013 | 08:30 AM | **Producer Price Index** for June 2013 |
| Tuesday, July 16, 2013 | 08:30 AM | **Consumer Price Index** for June 2013 |
| Tuesday, July 16, 2013 | 08:30 AM | **Real Earnings** for June 2013 |
| Wednesday, July 17, 2013 | 10:00 AM | **Employee Benefits in the United States** for March 2013 |
| Thursday, July 18, 2013 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Second Quarter 2013 |
| Friday, July 19, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for June 2013 |
| Tuesday, July 30, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for June 2013 |
| Tuesday, July 30, 2013 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Fourth Quarter 2012 |
| Wednesday, July 31, 2013 | 08:30 AM | **Employment Cost Index** for Second Quarter 2013 |

## August, 2013

| Date | Time | Release |
| --- | --- | --- |
| Friday, August 02, 2013 | 08:30 AM | **Employment Situation** for July 2013 |
| Tuesday, August 06, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for June 2013 |
| Tuesday, August 13, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for July 2013 |
| Wednesday, August 14, 2013 | 08:30 AM | **Producer Price Index** for July 2013 |
| Thursday, August 15, 2013 | 08:30 AM | **Consumer Price Index** for July 2013 |
| Thursday, August 15, 2013 | 08:30 AM | **Real Earnings** for July 2013 |
| Friday, August 16, 2013 | 08:30 AM | **Productivity and Costs (P)** for Second Quarter 2013 |
| Monday, August 19, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for July 2013 |
| Tuesday, August 20, 2013 | 10:00 AM | **Summer Youth Labor Force** for Annual 2013 |
| Thursday, August 22, 2013 | 10:00 AM | **Census of Fatal Occupational Injuries** for Annual 2012 |
| Wednesday, August 28, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for July 2013 |
| Thursday, August 29, 2013 | 10:00 AM | **Productivity and Costs by Industry: Wholesale Trade, Retail Trade, and Food Services and Drinking Places Industries** for Annual 2012 |

## September, 2013

| Date | Time | Release |
| --- | --- | --- |
| Monday, September 02, 2013 |  | **Labor Day** |
| Thursday, September 05, 2013 | 08:30 AM | **Productivity and Costs (R)** for Second Quarter 2013 |
| Friday, September 06, 2013 | 08:30 AM | **Employment Situation** for August 2013 |
| Tuesday, September 10, 2013 | 10:00 AM | **Consumer Expenditures** for Annual 2012 |
| Tuesday, September 10, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for July 2013 |
| Wednesday, September 11, 2013 | 10:00 AM | **Employer Costs for Employee Compensation** for June 2013 |
| Thursday, September 12, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for August 2013 |
| Friday, September 13, 2013 | 08:30 AM | **Producer Price Index** for August 2013 |
| Tuesday, September 17, 2013 | 08:30 AM | **Consumer Price Index** for August 2013 |
| Tuesday, September 17, 2013 | 08:30 AM | **Real Earnings** for August 2013 |
| Wednesday, September 18, 2013 | 10:00 AM | **Unpaid Eldercare in the United States - Data from the American Time Use Survey** for 2011-2012 |
| Friday, September 20, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for August 2013 |
| Wednesday, September 25, 2013 | 10:00 AM | **Multifactor Productivity Trends for Detailed Industries** for Annual 2011 |
| Thursday, September 26, 2013 | 10:00 AM | **County Employment and Wages** for First Quarter 2013 |

## October, 2013

| Date | Time | Release |
| --- | --- | --- |
| Monday, October 14, 2013 |  | **Columbus Day** |
| Monday, October 21, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for August 2013 |
| Tuesday, October 22, 2013 | 08:30 AM | **Employment Situation** for September 2013 |
| Wednesday, October 23, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for September 2013 |
| Thursday, October 24, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for August 2013 |
| Tuesday, October 29, 2013 | 08:30 AM | **Producer Price Index** for September 2013 |
| Wednesday, October 30, 2013 | 08:30 AM | **Consumer Price Index** for September 2013 |
| Wednesday, October 30, 2013 | 08:30 AM | **Real Earnings** for September 2013 |

## November, 2013

| Date | Time | Release |
| --- | --- | --- |
| Friday, November 01, 2013 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Third Quarter 2013 |
| Thursday, November 07, 2013 | 10:00 AM | **Occupational Injuries and Illnesses** for Annual 2012 |
| Friday, November 08, 2013 | 08:30 AM | **Employment Situation** for October 2013 |
| Monday, November 11, 2013 |  | **Veterans Day** |
| Thursday, November 14, 2013 | 08:30 AM | **Productivity and Costs (P)** for Third Quarter 2013 |
| Friday, November 15, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for October 2013 |
| Tuesday, November 19, 2013 | 08:30 AM | **Employment Cost Index** for Third Quarter 2013 |
| Wednesday, November 20, 2013 | 08:30 AM | **Consumer Price Index** for October 2013 |
| Wednesday, November 20, 2013 | 08:30 AM | **Real Earnings** for October 2013 |
| Thursday, November 21, 2013 | 08:30 AM | **Producer Price Index** for October 2013 |
| Friday, November 22, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for September 2013 |
| Friday, November 22, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for October 2013 |
| Tuesday, November 26, 2013 | 10:00 AM | **Nonfatal Occupational Injuries and Illnesses Requiring Days Away From Work** for Annual 2012 |
| Thursday, November 28, 2013 |  | **Thanksgiving Day** |

## December, 2013

| Date | Time | Release |
| --- | --- | --- |
| Thursday, December 05, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for October 2013 |
| Friday, December 06, 2013 | 08:30 AM | **Employment Situation** for November 2013 |
| Tuesday, December 10, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for October 2013 |
| Tuesday, December 10, 2013 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for First Quarter 2013 |
| Wednesday, December 11, 2013 | 10:00 AM | **Employer Costs for Employee Compensation** for September 2013 |
| Wednesday, December 11, 2013 | 10:00 AM | **Work Experience of the Population** for Annual 2012 |
| Thursday, December 12, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for November 2013 |
| Friday, December 13, 2013 | 08:30 AM | **Producer Price Index** for November 2013 |
| Monday, December 16, 2013 | 08:30 AM | **Productivity and Costs (R)** for Third Quarter 2013 |
| Tuesday, December 17, 2013 | 08:30 AM | **Consumer Price Index** for November 2013 |
| Tuesday, December 17, 2013 | 08:30 AM | **Real Earnings** for November 2013 |
| Wednesday, December 18, 2013 | 10:00 AM | **County Employment and Wages** for Second Quarter 2013 |
| Thursday, December 19, 2013 | 10:00 AM | **Employment Projections: 2012-2022** for Bi-Annual |
| Friday, December 20, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for November 2013 |
| Wednesday, December 25, 2013 |  | **Christmas Day** |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**December 03, 2013
