Title: Schedule of Releases for 2013

URL Source: https://www.bls.gov/schedule/2013/home.htm

Markdown Content:
## January, 2013

| Date | Time | Release |
| --- | --- | --- |
| Tuesday, January 01, 2013 |  | **New Year's Day** |
| Friday, January 04, 2013 | 08:30 AM | **Employment Situation** for December 2012 |
| Tuesday, January 08, 2013 | 10:00 AM | **County Employment and Wages** for Second Quarter 2012 |
| Tuesday, January 08, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for November 2012 |
| Thursday, January 10, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2012 |
| Friday, January 11, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2012 |
| Tuesday, January 15, 2013 | 08:30 AM | **Producer Price Index** for December 2012 |
| Wednesday, January 16, 2013 | 08:30 AM | **Consumer Price Index** for December 2012 |
| Wednesday, January 16, 2013 | 08:30 AM | **Real Earnings** for December 2012 |
| Friday, January 18, 2013 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for December 2012 |
| Friday, January 18, 2013 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2012 |
| Monday, January 21, 2013 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 23, 2013 | 10:00 AM | **Union Membership** for Annual 2012 |
| Friday, January 25, 2013 | 10:00 AM | **Mass Layoffs (Monthly)** for December 2012 |
| Tuesday, January 29, 2013 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2012 |
| Wednesday, January 30, 2013 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2012 |
| Thursday, January 31, 2013 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2012 |

## February, 2013

| Date | Time | Release |
| --- | --- | --- |
| Friday, February 01, 2013 | 08:30 AM | **Employment Situation** for January 2013 |
| Thursday, February 07, 2013 | 08:30 AM | **Productivity and Costs(P)** for Fourth Quarter 2012 |
| Friday, February 08, 2013 | 10:00 AM | **Major Work Stoppages (Annual)** for 2012 |
| Tuesday, February 12, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2012 |
| Wednesday, February 13, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2013 |
| Thursday, February 14, 2013 | 10:00 AM | **Extended Mass Layoffs (Quarterly)** for Fourth Quarter 2012 |
| Monday, February 18, 2013 |  | **Washington's Birthday** |
| Wednesday, February 20, 2013 | 08:30 AM | **Producer Price Index** for January 2013 |
| Thursday, February 21, 2013 | 08:30 AM | **Consumer Price Index** for January 2013 |
| Thursday, February 21, 2013 | 08:30 AM | **Real Earnings** for January 2013 |
| Friday, February 22, 2013 | 10:00 AM | **Volunteering in the United States** for Annual 2012 |
| Tuesday, February 26, 2013 | 10:00 AM | **Mass Layoffs (Monthly)** for January 2013 |

## March, 2013

| Date | Time | Release |
| --- | --- | --- |
| Friday, March 01, 2013 | 10:00 AM | **Americas Youth at 26: School Enrollment, Training, and Work Activity** for |
| Friday, March 01, 2013 | 10:00 AM | **Regional and State Unemployment** for Annual 2012 |
| Thursday, March 07, 2013 | 08:30 AM | **Productivity and Costs(R)** for Fourth Quarter 2012 |
| Friday, March 08, 2013 | 08:30 AM | **Employment Situation** for February 2013 |
| Tuesday, March 12, 2013 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2012 |
| Tuesday, March 12, 2013 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2013 |
| Wednesday, March 13, 2013 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2013 |
| Thursday, March 14, 2013 | 08:30 AM | **Producer Price Index** for February 2013 |
| Friday, March 15, 2013 | 08:30 AM | **Consumer Price Index** for February 2013 |
