Title: Schedule of Releases for 2012

URL Source: https://www.bls.gov/schedule/2012/home.htm

Markdown Content:
## January, 2012

| Date | Time | Release |
| --- | --- | --- |
| Monday, January 02, 2012 |  | **New Year's Day** |
| Wednesday, January 04, 2012 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for November 2011 |
| Friday, January 06, 2012 | 08:30 AM | **Employment Situation** for December 2011 |
| Tuesday, January 10, 2012 | 10:00 AM | **County Employment and Wages** for Second Quarter 2011 |
| Tuesday, January 10, 2012 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2011 |
| Friday, January 13, 2012 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2011 |
| Monday, January 16, 2012 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 18, 2012 | 08:30 AM | **Producer Price Index** for December 2011 |
| Thursday, January 19, 2012 | 08:30 AM | **Consumer Price Index** for December 2011 |
| Thursday, January 19, 2012 | 08:30 AM | **Real Earnings** for December 2011 |
| Tuesday, January 24, 2012 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for December 2011 |
| Tuesday, January 24, 2012 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2011 |
| Wednesday, January 25, 2012 | 10:00 AM | **Mass Layoffs (Monthly)** for December 2011 |
| Friday, January 27, 2012 | 10:00 AM | **Union Membership** for Annual 2011 |
| Tuesday, January 31, 2012 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2011 |

## February, 2012

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, February 01, 2012 | 10:00 AM | **Employment Projections: 2010-2020** for Bi-Annual |
| Wednesday, February 01, 2012 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2011 |
| Wednesday, February 01, 2012 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2011 |
| Thursday, February 02, 2012 | 08:30 AM | **Productivity and Costs(P)** for Fourth Quarter 2011 |
| Friday, February 03, 2012 | 08:30 AM | **Employment Situation** for January 2012 |
| Tuesday, February 07, 2012 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2011 |
| Wednesday, February 08, 2012 | 10:00 AM | **Major Work Stoppages (Annual)** for Annual 2011 |
| Thursday, February 09, 2012 | 10:00 AM | **America's Youth at 24: School Enrollment, Training, and Work Activity** for |
| Friday, February 10, 2012 | 10:00 AM | **Extended Mass Layoffs (Quarterly)** for Fourth Quarter 2011 |
| Tuesday, February 14, 2012 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2012 |
| Thursday, February 16, 2012 | 08:30 AM | **Producer Price Index** for January 2012 |
| Friday, February 17, 2012 | 08:30 AM | **Consumer Price Index** for January 2012 |
| Friday, February 17, 2012 | 08:30 AM | **Real Earnings** for January 2012 |
| Monday, February 20, 2012 |  | **Washington's Birthday** |
| Wednesday, February 22, 2012 | 10:00 AM | **Volunteering in the United States** for Annual 2011 |
| Thursday, February 23, 2012 | 10:00 AM | **Mass Layoffs (Monthly)** for January 2012 |
| Wednesday, February 29, 2012 | 10:00 AM | **Regional and State Unemployment** for Annual 2011 |

## March, 2012

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, March 07, 2012 | 08:30 AM | **Productivity and Costs(R)** for Fourth Quarter 2011 |
| Friday, March 09, 2012 | 08:30 AM | **Employment Situation** for February 2012 |
| Tuesday, March 13, 2012 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2012 |
| Tuesday, March 13, 2012 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for January 2012 |
| Wednesday, March 14, 2012 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2012 |
| Wednesday, March 14, 2012 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2011 |
| Thursday, March 15, 2012 | 08:30 AM | **Producer Price Index** for February 2012 |
| Friday, March 16, 2012 | 08:30 AM | **Consumer Price Index** for February 2012 |
