symbol,date,kind,node_low,node_high,poc,atr,level_of,ruled_by,side,context_px,entry,stop
AAPL,1998-04-01,S1_contraction,0.8249910756892869,0.8523410568107133,0.8386660662500001,0.039071401602037696,range_poc,spec,long,0.8635999999999999,0.8249910756892869,0.8181535804089303
AAPL,1998-04-02,S1_contraction,0.8251310711861946,0.8522010613138056,0.8386660662500001,0.03867141446801583,range_poc,spec,long,0.8577,0.8251310711861946,0.8183635736542918
AAPL,1998-04-13,S1_contraction,0.834748739990909,0.8605885480713746,0.8476686440311418,0.0369140115435223,range_poc,spec,long,0.8304000000000001,0.834748739990909,0.8282887879707926
AAPL,1998-04-27,S1_contraction,0.8332777577913604,0.8570349245900155,0.8451563411906879,0.033938809712364404,range_poc,spec,long,0.8715,0.8332777577913604,0.8273384660916966
AAPL,1998-04-28,S1_contraction,0.8330249104338515,0.8572877719475244,0.8451563411906879,0.034661230733818445,range_poc,spec,long,0.8461000000000001,0.8330249104338515,0.8269591950554334
AAPL,1998-05-13,S1_contraction,0.913940759943181,0.9379283695293466,0.9259345647362638,0.03426801369452223,range_poc,spec,long,0.956,0.913940759943181,0.9079438575466396
AAPL,1998-05-14,S1_contraction,0.9139619644714981,0.9379071650010294,0.9259345647362638,0.03420742932790193,range_poc,spec,long,0.9439999999999998,0.9139619644714981,0.9079756643391153
AAPL,1998-05-15,S1_contraction,0.9137560227665839,0.9381131067059437,0.9259345647362638,0.034795834199085586,range_poc,spec,long,0.9283,0.9137560227665839,0.9076667517817438
AAPL,1998-06-26,S1_contraction,0.8487952644933532,0.8722721989107165,0.8605337317020348,0.033538477739090376,range_poc,spec,long,0.8853,0.8487952644933532,0.8429260308890123
AAPL,1998-07-30,S1_contraction,1.1377377846332295,1.167877763142085,1.1528077738876572,0.043057112155508004,range_poc,spec,long,1.1463,1.1377377846332295,1.1302027900060156
AAPL,1998-08-05,S1_contraction,1.1038480455407522,1.1382098164415488,1.1210289309911505,0.04908824414399514,range_poc,spec,long,1.1306,1.1038480455407522,1.0952576028155532
AAPL,1998-09-18,S1_contraction,1.1441173834042442,1.198381275561118,1.1712493294826811,0.07751984593839131,range_poc,spec,long,1.1540999999999997,1.1441173834042442,1.1305514103650256
AAPL,1998-09-24,S1_contraction,1.13806658014796,1.190688751010523,1.1643776655792415,0.07517452980366178,range_poc,spec,long,1.2091,1.13806658014796,1.124911037432319
AAPL,1998-09-25,S1_contraction,1.1379969339625469,1.1907583971959361,1.1643776655792415,0.07537351890484173,range_poc,spec,long,1.217,1.1379969339625469,1.1248065681541997
AAPL,1998-09-30,S1_contraction,1.172399935979796,1.2250720342130819,1.198735985096439,0.07524585461897956,range_poc,spec,long,1.1975,1.172399935979796,1.1592319114214746
AAPL,1998-10-26,S1_contraction,1.129040169985388,1.177308444492984,1.153174307239186,0.06895467786799427,range_poc,spec,long,1.1758,1.129040169985388,1.116973101358489
AAPL,1998-10-28,S1_contraction,1.1283294304056737,1.1780191840726983,1.153174307239186,0.07098536238146361,range_poc,spec,long,1.156,1.1283294304056737,1.1159069919889175
AAPL,1998-11-19,S1_contraction,1.1452290959355784,1.189673469471561,1.1674512827035697,0.06349196219426098,range_poc,spec,long,1.1227,1.1452290959355784,1.134118002551583
AAPL,1998-11-20,S1_contraction,1.1483530593530094,1.1909653340326423,1.1696591966928258,0.06087467811376151,range_poc,spec,long,1.1088999999999998,1.1483530593530094,1.1376999906831011
AAPL,1998-11-23,S1_contraction,1.1489717451489618,1.1903466482366898,1.1696591966928258,0.05910700441104023,range_poc,spec,long,1.1384,1.1489717451489618,1.13862801937703
AAPL,1999-01-26,S1_contraction,1.2494713439490757,1.297301142669801,1.2733862433094383,0.06832828388675048,range_poc,spec,long,1.2719,1.2494713439490757,1.2375138942688944
AAPL,1999-02-03,S1_contraction,1.2464661027221708,1.2944285671377924,1.2704473349299816,0.06851780630803095,range_poc,spec,long,1.2622,1.2464661027221708,1.2344754866182654
AAPL,1999-02-11,S1_contraction,1.247746937335413,1.297221565376005,1.272484251355709,0.07067804005798858,range_poc,spec,long,1.2446,1.247746937335413,1.235378280325265
AAPL,1999-03-11,S1_contraction,1.0450210012833607,1.084511076228091,1.0647660387557258,0.05641439277818617,range_poc,spec,long,1.0109,1.0450210012833607,1.0351484825471782
AAPL,1999-03-12,S1_contraction,1.0449519949806598,1.0845800825307919,1.0647660387557258,0.05661155364304598,range_poc,spec,long,1.0423,1.0449519949806598,1.0350449730931268
AAPL,1999-03-17,S1_contraction,1.045507446385441,1.08535809709508,1.0654327717402605,0.05692950101376977,range_poc,spec,long,1.0697,1.045507446385441,1.0355447837080312
