event_date,type,t0,n_c5_bars,c5_full,prior_median_range,c5_median_range
2017-01-06,NFP,2017-01-06T14:30:00,5,True,3.3684999999995853,9.7599999999984
2017-02-01,FOMC,2017-02-01T20:15:00,5,True,4.123999999999796,14.101000000000568
2017-02-03,NFP,2017-02-03T14:30:00,5,True,4.299999999999272,15.800999999999476
2017-03-10,NFP,2017-03-10T14:30:00,5,True,5.245499999999993,8.545000000000073
2017-03-15,FOMC,2017-03-15T19:15:00,5,True,3.3905000000004293,11.234000000000378
2017-04-07,NFP,2017-04-07T14:30:00,5,True,5.400499999999738,17.0
2017-05-03,FOMC,2017-05-03T20:15:00,5,True,2.7510000000002037,7.498999999999796
2017-05-05,NFP,2017-05-05T14:30:00,5,True,4.001000000000204,16.649999999999636
2017-06-02,NFP,2017-06-02T14:30:00,5,True,6.400499999999738,20.001000000000204
2017-06-14,FOMC,2017-06-14T20:15:00,5,True,4.100499999999556,14.001000000000204
2017-07-07,NFP,2017-07-07T14:30:00,5,True,4.65099999999984,6.699000000000524
2017-07-26,FOMC,2017-07-26T20:15:00,5,True,4.231000000000677,6.248999999999796
2017-08-04,NFP,2017-08-04T14:30:00,5,True,4.951000000000022,15.649999999999636
2017-09-01,NFP,2017-09-01T14:30:00,5,True,5.599500000000262,15.300999999999476
2017-09-20,FOMC,2017-09-20T20:15:00,5,True,2.399999999999636,9.699999999998909
2017-10-06,NFP,2017-10-06T14:30:00,5,True,3.2510000000002037,10.293999999999869
2017-11-01,FOMC,2017-11-01T19:15:00,5,True,5.100999999999658,4.501000000000204
2017-11-03,NFP,2017-11-03T13:30:00,5,True,4.75,10.0
2017-12-08,NFP,2017-12-08T14:30:00,5,True,9.000500000000102,14.001000000000204
2017-12-13,FOMC,2017-12-13T20:15:00,5,True,5.900000000000546,8.5
2018-01-05,NFP,2018-01-05T14:30:00,5,True,6.599499999999352,11.199999999998909
2018-01-31,FOMC,2018-01-31T20:15:00,5,True,5.75,8.700999999999112
2018-02-02,NFP,2018-02-02T14:30:00,5,True,11.790500000000975,19.501000000000204
2018-03-09,NFP,2018-03-09T14:30:00,5,True,10.005500000000211,25.290000000000873
2018-03-21,FOMC,2018-03-21T19:15:00,5,True,7.115500000000793,19.98999999999978
2018-04-06,NFP,2018-04-06T14:30:00,5,True,9.250500000000102,30.998999999999796
