symbol,release_date,release_time,side,period
ACIA,2018-11-01,post,long,OOS
ACIA,2019-02-21,post,long,OOS
ACIW,2013-05-02,pre,short,IS
ACIW,2013-11-07,pre,long,IS
ACIW,2018-11-08,pre,long,OOS
ACIW,2019-02-28,pre,short,OOS
ACIW,2019-05-09,pre,short,OOS
ACM,2013-02-05,pre,long,IS
ACM,2013-11-12,pre,short,IS
ACM,2015-08-11,pre,short,IS
ACM,2016-05-10,pre,long,IS
ACN,2013-12-19,pre,long,IS
ACN,2014-03-27,pre,short,IS
ACN,2014-09-24,pre,short,IS
ACN,2014-12-18,pre,long,IS
ACN,2015-03-26,pre,long,IS
ACN,2015-06-25,pre,long,IS
ACN,2015-12-17,pre,short,IS
ACN,2016-09-29,pre,long,IS
ACN,2017-12-21,pre,long,OOS
ACN,2018-06-28,pre,long,OOS
ACN,2019-03-28,pre,long,OOS
ACOR,2013-10-31,pre,long,IS
ACOR,2014-07-31,pre,long,IS
ACOR,2015-10-22,pre,long,IS
ACOR,2016-07-28,pre,short,IS
ACOR,2017-07-27,pre,short,OOS
ACOR,2017-10-31,pre,short,OOS
ACTG,2013-02-21,post,long,IS
ACTG,2013-04-18,post,short,IS
ACTG,2013-07-18,post,short,IS
ADBE,2012-12-13,post,long,IS
ADBE,2013-03-19,post,long,IS
ADBE,2013-06-18,post,long,IS
ADBE,2014-06-17,post,long,IS
ADBE,2014-12-11,post,long,IS
ADBE,2015-12-10,post,long,IS
ADBE,2016-03-17,post,long,IS
ADBE,2016-09-20,post,long,IS
ADBE,2016-12-15,post,long,IS
ADBE,2017-03-16,post,long,OOS
ADBE,2017-06-20,post,long,OOS
ADBE,2017-12-14,post,long,OOS
ADBE,2018-03-15,post,long,OOS
ADI,2015-08-18,post,long,IS
ADI,2015-11-24,pre,long,IS
ADI,2016-11-22,pre,long,IS
ADI,2017-02-15,pre,long,OOS
ADI,2017-05-31,pre,long,OOS
ADI,2017-08-30,pre,long,OOS
ADM,2013-02-05,pre,long,IS
ADM,2013-05-01,post,short,IS
ADM,2014-02-04,pre,long,IS
ADM,2014-04-29,pre,short,IS
ADM,2014-08-05,pre,long,IS
ADM,2014-11-04,pre,long,IS
ADM,2015-11-03,pre,short,IS
ADM,2016-02-02,pre,short,IS
ADM,2016-08-02,pre,short,IS
ADM,2016-11-01,pre,long,IS
ADM,2017-02-07,pre,short,OOS
ADM,2017-05-02,pre,short,OOS
ADM,2017-08-01,pre,long,OOS
ADM,2017-10-31,pre,short,OOS
ADM,2018-07-31,pre,long,OOS
ADM,2019-02-05,pre,short,OOS
ADNT,2017-04-28,pre,long,OOS
ADNT,2018-01-29,pre,short,OOS
ADNT,2018-05-03,pre,short,OOS
ADNT,2019-02-07,pre,short,OOS
ADNT,2019-08-06,pre,long,OOS
ADP,2013-05-03,pre,long,IS
ADP,2013-08-01,pre,short,IS
ADP,2015-02-04,pre,long,IS
ADP,2015-07-30,pre,short,IS
ADP,2016-04-28,pre,short,IS
ADP,2016-11-02,pre,long,IS
ADP,2017-07-27,pre,short,OOS
ADP,2018-05-02,pre,long,OOS
ADP,2018-10-31,pre,long,OOS
ADP,2019-01-30,pre,long,OOS
ADP,2019-07-31,pre,long,OOS
ADPT,2019-08-13,post,short,OOS
ADS,2013-01-31,pre,long,IS
ADS,2015-10-22,pre,long,IS
ADS,2016-07-21,pre,long,IS
ADS,2017-04-20,pre,long,OOS
ADS,2019-04-25,pre,short,OOS
ADSK,2013-05-16,post,short,IS
ADSK,2013-08-22,post,long,IS
ADSK,2014-02-26,post,long,IS
ADSK,2014-05-15,post,long,IS
ADSK,2014-11-20,post,long,IS
ADSK,2015-02-26,post,long,IS
ADSK,2016-08-25,post,long,IS
ADSK,2017-05-18,post,long,OOS
ADSK,2017-08-24,post,long,OOS
ADSK,2018-03-06,post,long,OOS
ADSK,2018-08-23,post,long,OOS
ADSK,2018-11-20,post,long,OOS
ADSK,2019-02-28,post,long,OOS
ADSK,2019-05-23,post,short,OOS
ADT,2014-01-30,pre,short,IS
ADT,2014-04-30,pre,long,IS
ADT,2014-07-30,pre,long,IS
ADT,2014-11-12,pre,long,IS
ADT,2015-01-28,pre,long,IS
ADT,2015-07-29,pre,short,IS
ADT,2018-08-08,post,short,OOS
ADTN,2013-04-09,post,long,IS
ADTN,2015-01-20,post,long,IS
AEE,2014-02-21,pre,long,IS
AEE,2016-11-04,pre,long,IS
AEE,2017-11-03,pre,short,OOS
AEE,2019-02-14,pre,short,OOS
AEIS,2017-01-30,post,long,OOS
AEIS,2017-07-31,post,long,OOS
AEIS,2018-07-30,post,short,OOS
AEIS,2020-08-05,pre,long,OOS
AEL,2013-11-04,post,long,IS
AEL,2016-04-27,post,short,IS
AEL,2017-05-03,post,long,OOS
AEL,2017-11-06,post,long,OOS
AEL,2018-11-05,post,long,OOS
AEM,2012-10-24,post,long,IS
AEM,2013-10-23,post,long,IS
AEM,2014-05-01,post,long,IS
AEM,2014-10-29,post,short,IS
AEM,2017-07-26,post,long,OOS
AEM,2017-10-25,post,long,OOS
AEM,2019-04-25,post,long,OOS
AEO,2012-11-28,pre,long,IS
AEO,2013-03-06,pre,short,IS
AEO,2013-08-21,pre,short,IS
AEO,2014-08-20,pre,long,IS
AEO,2015-03-04,pre,long,IS
AEO,2015-05-20,pre,long,IS
AEO,2016-05-18,post,long,IS
AEO,2017-08-23,pre,long,OOS
AEO,2019-06-05,pre,long,OOS
AEO,2021-03-03,post,long,OOS
AEP,2013-10-23,pre,long,IS
AEP,2016-04-28,pre,short,IS
AEP,2021-04-22,pre,short,OOS
AER,2014-02-20,pre,short,IS
AER,2014-08-12,pre,long,IS
AER,2014-11-04,pre,long,IS
AER,2015-02-23,pre,long,IS
AER,2017-02-21,pre,long,OOS
AER,2017-11-02,pre,long,OOS
AER,2018-02-14,pre,long,OOS
AER,2019-05-01,pre,long,OOS
AER,2019-07-30,pre,long,OOS
AER,2020-02-13,pre,long,OOS
AERI,2019-11-06,post,short,OOS
AES,2014-05-08,pre,short,IS
AES,2015-05-11,pre,short,IS
AES,2017-05-08,pre,short,OOS
AES,2018-02-27,pre,long,OOS
AES,2018-08-07,pre,short,OOS
AFG,2013-07-29,post,long,IS
AFG,2017-02-01,post,long,OOS
AFG,2017-08-01,post,long,OOS
AFG,2018-01-31,post,long,OOS
AFG,2018-05-02,post,long,OOS
AFG,2019-01-30,post,short,OOS
AFL,2015-04-28,post,short,IS
AFL,2017-01-31,post,short,OOS
AFL,2018-07-26,post,long,OOS
AG,2017-08-03,post,short,OOS
AGCO,2012-10-31,pre,short,IS
AGCO,2013-02-05,pre,long,IS
AGCO,2013-04-30,pre,long,IS
AGCO,2013-07-31,pre,long,IS
AGCO,2013-10-29,pre,short,IS
AGCO,2014-04-29,pre,long,IS
AGCO,2015-02-03,pre,long,IS
AGCO,2015-07-28,pre,long,IS
AGCO,2016-04-27,pre,long,IS
AGCO,2017-07-27,pre,long,OOS
AGCO,2018-02-06,pre,short,OOS
AGEN,2018-03-15,pre,short,OOS
AGI,2017-08-03,pre,long,OOS
AGI,2018-02-22,pre,short,OOS
AGIO,2015-08-06,pre,short,IS
AGIO,2017-11-01,pre,long,OOS
AGN,2012-11-01,pre,long,IS
AGN,2013-02-19,pre,long,IS
AGN,2013-05-02,pre,long,IS
AGN,2016-05-10,pre,long,IS
AGN,2017-05-09,pre,long,OOS
AGNC,2013-05-02,post,short,IS
AGNC,2013-10-28,post,short,IS
AGNC,2014-07-28,post,long,IS
AGNC,2015-10-26,post,short,IS
AGNC,2016-10-24,post,long,IS
AGNC,2019-04-24,post,short,OOS
AGO,2013-11-11,post,long,IS
AGO,2014-08-07,post,long,IS
AGO,2015-05-07,post,long,IS
AGO,2015-11-05,post,long,IS
AGR,2016-04-25,post,long,IS
AGR,2016-10-25,pre,short,IS
AGR,2017-02-21,pre,long,OOS
AGR,2017-07-19,pre,long,OOS
AGR,2018-07-24,pre,short,OOS
AGR,2018-10-23,post,long,OOS
AGR,2019-02-19,post,short,OOS
AGR,2019-04-24,post,short,OOS
AHL,2012-10-24,post,long,IS
AHL,2013-10-30,post,long,IS
AHL,2018-02-07,post,long,OOS
AIG,2013-02-21,post,long,IS
AIG,2013-05-02,post,long,IS
AIG,2013-08-01,post,long,IS
AIG,2014-08-04,post,long,IS
AIG,2015-02-12,post,short,IS
AIG,2015-11-02,post,short,IS
AIG,2016-05-02,post,short,IS
AIG,2016-08-02,post,long,IS
AIG,2016-11-02,post,short,IS
AIG,2017-02-14,post,short,OOS
AIG,2017-05-03,post,long,OOS
AIG,2017-11-02,post,short,OOS
AIG,2018-05-02,post,short,OOS
AIG,2018-08-02,post,short,OOS
AIG,2019-02-13,post,short,OOS
AIG,2019-05-06,post,long,OOS
AIG,2020-02-13,pre,long,OOS
AIMC,2018-10-25,pre,long,OOS
AIMC,2019-02-21,pre,short,OOS
AIMC,2019-04-26,pre,long,OOS
AIMC,2019-07-25,pre,short,OOS
AIN,2019-07-30,post,long,OOS
AINV,2015-02-05,pre,long,IS
AIT,2017-01-26,pre,long,OOS
AIT,2018-01-25,pre,long,OOS
AIT,2018-04-26,pre,long,OOS
AIT,2018-08-10,pre,long,OOS
AIT,2019-01-24,pre,short,OOS
AIV,2015-11-03,post,short,IS
AIV,2017-02-02,post,long,OOS
AIV,2018-08-02,post,short,OOS
AIZ,2012-07-25,post,long,IS
AIZ,2013-02-06,post,long,IS
AIZ,2013-04-24,post,short,IS
AIZ,2015-02-12,post,short,IS
AIZ,2015-07-28,post,long,IS
AIZ,2016-02-09,post,short,IS
AIZ,2016-04-26,post,long,IS
AIZ,2017-05-02,post,long,OOS
AIZ,2019-05-06,post,long,OOS
AJG,2013-04-30,post,long,IS
AJG,2014-01-28,post,short,IS
AJG,2016-04-28,post,long,IS
AJG,2016-10-27,post,long,IS
AJG,2017-10-26,post,long,OOS
AJG,2018-01-25,post,long,OOS
AJRD,2019-07-31,post,long,OOS
AKAM,2012-10-24,post,long,IS
AKAM,2013-04-24,post,long,IS
AKAM,2014-02-05,post,long,IS
AKAM,2015-02-10,post,long,IS
AKAM,2015-07-28,post,short,IS
AKAM,2016-02-09,post,long,IS
AKAM,2016-10-25,post,long,IS
AKAM,2017-10-24,post,long,OOS
AKAM,2018-02-06,post,long,OOS
AKAM,2018-04-30,post,long,OOS
AKAM,2018-10-29,post,long,OOS
AKAM,2019-04-30,post,long,OOS
AKR,2016-04-26,post,short,IS
AKR,2017-11-02,post,short,OOS
AKRX,2014-08-05,pre,long,IS
AKRX,2015-02-26,pre,long,IS
AKRX,2016-08-04,pre,long,IS
AKRX,2016-11-03,pre,long,IS
AKS,2016-10-25,pre,long,IS
AKS,2017-01-24,pre,long,OOS
AKS,2017-07-25,pre,long,OOS
AKS,2017-10-31,pre,short,OOS
